web-scraper-order,web-scraper-start-url,Date,Tourist_Home_Location,Scrape_Tagline,Scrape_Review_Text
"1733317982-1","https://www.tripadvisor.in/Attraction_Review-g304552-d6496310-Reviews-or940-The_Ridge-Shimla_Shimla_District_Himachal_Pradesh.html","Written 19 October 2014","Calgary, Canada","Nice Scenic Place","Nice place along the mall road , You can see snow peaked  mountains at a distance in clear weather.
this place has nice street food as well.
Go along the mall road , ridge is just a part of that."
"1733317982-2","https://www.tripadvisor.in/Attraction_Review-g304552-d6496310-Reviews-or940-The_Ridge-Shimla_Shimla_District_Himachal_Pradesh.html","Written 6 September 2014","Noida, India","Good Hangout place","Place to hangout in Shimla for doing nothing but leisure activity. Not for shopping as everything is expensive and everything is available across country at cheaper prices. Some souvenir can be brought for remembrance sake. Lakkad Bazar for wood items and tibetan market for utility apparels."
"1733317982-3","https://www.tripadvisor.in/Attraction_Review-g304552-d6496310-Reviews-or940-The_Ridge-Shimla_Shimla_District_Himachal_Pradesh.html","Written 25 August 2014","New Delhi, India","great","The Ridge is always full of tourists.There is christ church,shops and restaurant.Ridge is main point in shimla from where you can take a look to jakhu Hills which is famous for jakhu temple where god Hanuman is there."
"1733317982-4","https://www.tripadvisor.in/Attraction_Review-g304552-d6496310-Reviews-or940-The_Ridge-Shimla_Shimla_District_Himachal_Pradesh.html","Written 17 August 2014","New Delhi, India","Good place to sit and relax among crowds","The Ridge is a large open space, located in the heart of Shimla, the capital city of Himachal Pradesh, India. It runs east to west alongside the Mall Road, and joins it at the Scandal Point on the west side. On the east side, The Ridge road leads to Lakkar Bazaar, a wooden crafts market. The Ridge houses a large water reservoir which acts as the main supply of Shimla town. 

One can do horse riding here. Sit here and enjoy the cool and clear environment with Himalayas views. Many hawkers sells eatables that makes the place a bit dirty.  

The Ridge road is also the venue for Summer festival, government functions and local celebrations during New Year's Eve. Prominent landmarks on The Ridge include Christ Church built in the 1850s and a library building built in 1910. There are three statues on The Ridge- that of Mahatma Gandhi, Indira Gandhi and Dr. Y.S. Parmar, the first Chief Minister of Himachal Pradesh."
"1733317982-5","https://www.tripadvisor.in/Attraction_Review-g304552-d6496310-Reviews-or940-The_Ridge-Shimla_Shimla_District_Himachal_Pradesh.html","Written 6 August 2014","New Delhi, India","Too commercialised","The ridge has remained unchanged after all these years, however, it is too commercialised and crowded today. The vendors hawking balloons and toys, too many street food vendors etc diminish the overall aura somewhat"
"1733317982-6","https://www.tripadvisor.in/Attraction_Review-g304552-d6496310-Reviews-or940-The_Ridge-Shimla_Shimla_District_Himachal_Pradesh.html","Written 29 May 2014","Rajkot District, India","Not upto mark.","Surprisingly, I found the Ridge and the environs a bit shabby and dirty.
The usual freshness was amiss."
"1733317982-7","https://www.tripadvisor.in/Attraction_Review-g304552-d6496310-Reviews-or940-The_Ridge-Shimla_Shimla_District_Himachal_Pradesh.html","Written 17 May 2014","Shimla, India","The Ridge .Shimla","Heart Of The Shimla. Great in Evening time.nice place to meet people.u can't even sit n njoy an ice-cream or relax for a moment at this point..it seems as if every tourist of Shimla is on road at The Ridge."
"1733317982-8","https://www.tripadvisor.in/Attraction_Review-g304552-d6496310-Reviews-or940-The_Ridge-Shimla_Shimla_District_Himachal_Pradesh.html","Written 7 May 2014","Chandigarh, India","RIDGE-SHIMLA","Visited may be more then 50 times - But never could understand , what it is famous for - Nothing , may be has it's roots in History"
"1733317982-9","https://www.tripadvisor.in/Attraction_Review-g304552-d6496310-Reviews-or940-The_Ridge-Shimla_Shimla_District_Himachal_Pradesh.html","Written 4 May 2014","Chandigarh, India","Overrated!!","Probably it's so famous because it is the heart of Shimla, but believe me, there's nothing special about the place. It's too over-crowded..u can't even sit n njoy an ice-cream or relax for a moment at this point..it seems as if every tourist of Shimla is on road at The Ridge. Definitely, one of the most overrated attractions ever!"
"1733318007-10","https://www.tripadvisor.in/Attraction_Review-g304552-d6496310-Reviews-or930-The_Ridge-Shimla_Shimla_District_Himachal_Pradesh.html","Written 15 December 2014","Noida, India","Covered in Snow","Amazing experience, witnessed first snowfall of the season. Lovely place to be. Beautiful points for taking photographs."
"1733318007-11","https://www.tripadvisor.in/Attraction_Review-g304552-d6496310-Reviews-or930-The_Ridge-Shimla_Shimla_District_Himachal_Pradesh.html","Written 8 December 2014","Nairobi, Kenya","Breathtaking Views","This is the most famous vantage point in simla with views in the evening that will amaze you.... esp when it has snowed in simla...."
"1733318007-12","https://www.tripadvisor.in/Attraction_Review-g304552-d6496310-Reviews-or930-The_Ridge-Shimla_Shimla_District_Himachal_Pradesh.html","Written 4 December 2014","Bengaluru, India","The gateway to Shimla!!","If the mall is ideal for the evening time walks, the ridge is perfect to enjoy a sunny afternoon in Shimla. Also the place is beautiful when it snows in Shimla."
"1733318007-13","https://www.tripadvisor.in/Attraction_Review-g304552-d6496310-Reviews-or930-The_Ridge-Shimla_Shimla_District_Himachal_Pradesh.html","Written 28 November 2014","Texas","large ground near mall","The Ridge road is a large open space, located in the heart of Shimla, the capital city of Himachal Pradesh, India. It runs east to west alongside the Mall Road, and joins it at the Scandal Point on the west side"
"1733318007-14","https://www.tripadvisor.in/Attraction_Review-g304552-d6496310-Reviews-or930-The_Ridge-Shimla_Shimla_District_Himachal_Pradesh.html","Written 20 November 2014","Chennai (Madras), India","Very hard to find the tourist spot","We were travelling around for a while asking the spot... But none gave the right directions.. Came atlast with no time to spend there"
"1733318007-15","https://www.tripadvisor.in/Attraction_Review-g304552-d6496310-Reviews-or930-The_Ridge-Shimla_Shimla_District_Himachal_Pradesh.html","Written 16 November 2014","London, UK","Scenic","We were very tired of travelling from Delhi to Shimla (train to Kalka and road travel thereafter). We still to check out this place and it was really the best decision. We were there at sunset and the valley views were really amazing."
"1733318007-16","https://www.tripadvisor.in/Attraction_Review-g304552-d6496310-Reviews-or930-The_Ridge-Shimla_Shimla_District_Himachal_Pradesh.html","Written 13 November 2014","Dhaka City, Bangladesh","Great Hangout place","..relaxing....peaceful...clean...romantic...a perfect place for the evening....you can just roam around with yous friends...family...wife...girlfriend...ok for everyone"
