web-scraper-order,web-scraper-start-url,Date,Tourist_Home_Location,Scrape_Tagline,Scrape_Review_Text
"1733311903-1","https://www.tripadvisor.in/Attraction_Review-g304552-d319704-Reviews-or2870-The_Mall-Shimla_Shimla_District_Himachal_Pradesh.html","Written 19 October 2011","Thiruvananthapuram (Trivandrum), India","good place to spend an evening","Nice local shops, restaurants and old British building. Road is closed for vehicles which makes it ideal for a good evening walk. Try the sweets its really yummy. And if you are a shopping freak, one evening is not enough. But not many branded shops out here."
"1733311903-2","https://www.tripadvisor.in/Attraction_Review-g304552-d319704-Reviews-or2870-The_Mall-Shimla_Shimla_District_Himachal_Pradesh.html","Written 19 October 2011","24 contributions","THE MALL....Awesome","This msg is for whosoever thinks shimla has lost its charm..d credit goes to U.. The tourists who have nothing else to do on d weekend so the decide to pack their bags and come to Shimla to make it more crowded..and when they are provided all the modern facilities they say that shimla is not the same... If it is not the same then y do u need to come here stay at ur place.. I love my Shimla and it is still beautiful for me.."
"1733311903-3","https://www.tripadvisor.in/Attraction_Review-g304552-d319704-Reviews-or2870-The_Mall-Shimla_Shimla_District_Himachal_Pradesh.html","Written 13 October 2011","Mumbai, India","Good atmosphere for a lazy walkabout","No traffic, clean and pleasant, feels good to just move around among locals and tourists, have an icecream or coffee. No sense buying anything. Found the good old ICH (India Coffee House and had some satisfying south indian snacks that ICH makes so well."
"1733311903-4","https://www.tripadvisor.in/Attraction_Review-g304552-d319704-Reviews-or2870-The_Mall-Shimla_Shimla_District_Himachal_Pradesh.html","Written 15 September 2011","Dhaka City, Bangladesh","The Mall : Awesome","Shimla is incomplete without its Mall. The Mall extends the value and beauty of Shimla.
The Mall consists lots of administrative buildings and public service offices of valuable architecture. The design, shape and structure of buildings can make you think that you are in an European city. Don't miss to take these buildings pictures as these might not be found in any other places of india.

Also there are some temple in Mall. There is a very nice Christ Church and also the Ridge.The view from the Ridge is very scenic and you can feel the natural beauty of Shimla from there.

For shopping lovers, it is like a paradise. Lots of branded shops are available here. 

There is a lift and one can use that lift to go to the Mall.

One must visit this place in morning or afternoon as the buildings beauty can be felt in that time. Also one should visit this place in night when the place has different charms.

I visited this place in september,2010."
"1733311903-5","https://www.tripadvisor.in/Attraction_Review-g304552-d319704-Reviews-or2870-The_Mall-Shimla_Shimla_District_Himachal_Pradesh.html","Written 10 August 2011","Bokaro Steel City, India","It was like visiting a village market.","I was surprised that this is the place called as one of the attraction point of shimla.It felt like i have came back to my village.All cheap quality shops selling cheap quality goods in a very high price.There is nothing as the name THE MALL is off.Food around is specially horrible."
"1733311903-6","https://www.tripadvisor.in/Attraction_Review-g304552-d319704-Reviews-or2870-The_Mall-Shimla_Shimla_District_Himachal_Pradesh.html","Written 9 August 2011","Gurugram (Gurgaon), India","Been there, done that","A trip to shimla without a visiting the mall is incomplete. However if you are visiting for the 'n'th time, then this place has lost its charm.
Three friends walked around the mall road on a Sunday morning - afternoon with little to do. You can look at shops (warning - many branded shops like Tommy Arrows etc are shut on sundays). The local shops are too expensive (rates would suit only foreigners). The mall has lost its charm in a way. It has some very nice photography points which may interest you. 
Overall i suggest you spend not more than a couple of hours here and find some nice eating joints or trail off into the interiors instead. :)"
"1733311903-7","https://www.tripadvisor.in/Attraction_Review-g304552-d319704-Reviews-or2870-The_Mall-Shimla_Shimla_District_Himachal_Pradesh.html","Written 3 January 2011","Kolkata (Calcutta), India","The Mall","a place you can be at for a entire day with doing nothing and yet enjoying in a monsoon season. try a small horse ride ,the church,and a small park located on the mall and enjoying chana there.
a must for everyone who comes to shimla"
"1733311903-8","https://www.tripadvisor.in/Attraction_Review-g304552-d319704-Reviews-or2870-The_Mall-Shimla_Shimla_District_Himachal_Pradesh.html","Written 30 April 2008","Lahore","Visit to Shimla","Brfore  visiting  Shimla in 2004, my last visit had been in 1947. Since my late father was with the Punjab govt. of undivided India, we were in Shimla for almost 6 months of the year- getting there in early April and leaving Shimla in the end of Sept.6 months of my growing years, every year, were spent in Shimla.
 From 1938 to 1947 we were staying in the compound of Barnes Court, the summer house of the governor of Punjab of undivided India.
I had vivid memories of Shimla. My family, specially my older brother and sisters, used to recall the places we knew well in & around Shimla. 
In my last visit with my wife in 2004, I was pleasently surprised that most of the heretage places, were kept and maintained verywell. The Gaity theater was in the process of renovatin in the same shape and style.We were able to visit the HP, governor's place of residence (old Barnes Court) and see where the famous Simla agreement was signed by Zulfiqar Ali Bhutto & Indra Ghandhi. So we have decided to visit Shimla again this summer instead of goving to USA or Europe for our holidays."
"1733311913-9","https://www.tripadvisor.in/Attraction_Review-g304552-d319704-Reviews-or2860-The_Mall-Shimla_Shimla_District_Himachal_Pradesh.html","Written 8 November 2011","Mumbai, India","Nice place","Nice place horse rides, good food, old buildings, shops etc etc. Fun! When I saw 3 idiots all the memories of this place came back !"
"1733311913-10","https://www.tripadvisor.in/Attraction_Review-g304552-d319704-Reviews-or2860-The_Mall-Shimla_Shimla_District_Himachal_Pradesh.html","Written 8 November 2011","Rome, Italy","Nice for walking around but nothing very special","The Mall has a lot of shops, and some amount of restaurants which all look and sound the same. It's good for casual stroll, but don't expect very good shopping, nice terraces or anything very exotic."
"1733311913-11","https://www.tripadvisor.in/Attraction_Review-g304552-d319704-Reviews-or2860-The_Mall-Shimla_Shimla_District_Himachal_Pradesh.html","Written 6 November 2011","Kathmandu","No Smoking in the Mall","The Mall, where once the Viceroy puffed his pipe, is now a serious no-smoking zone. Expect to be informed if you light up a Wills! See the children of local tourists riding wonderful Indian horses with their remarkable ears (the horses), eating ice-creams and candy-floss, buying tacky souvenirs and phoning their families. The buildings are so reminiscent of Britain, that for Brits, nostalgia fills the air."
